ParticipantCode,Term,Test,Instructor,LetterGrade,PercentGrade,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,CorrectAnswers,TestGrade
22,1.0,Post,A,D,54.83,D,C,B,C,B,A,C,B,C,A,C,B,B,C,B,D,C,C,A,C,A,C,A,B,A,B,A,4,14.81
50,1.0,Pre,A,F,12.41,A,x,A,x,A,A,x,C,x,C,B,A,A,B,x,D,x,x,A,B,A,x,C,x,x,x,x,7,25.93
82,1.0,Pre,A,B+,84.94,C,C,A,C,E,A,C,E,A,D,B,B,C,D,A,E,C,D,x,B,A,D,C,A,E,B,B,7,25.93
82,1.0,Post,A,B+,84.94,B,D,D,D,A,A,B,D,B,E,D,C,D,A,x,D,B,C,E,B,C,C,A,x,D,D,C,9,33.33
22,1.0,Pre,A,D,54.83,E,D,C,B,B,B,D,D,A,A,C,A,B,C,D,B,B,D,B,D,A,E,A,B,D,D,A,2,7.41
76,1.0,Pre,A,A,95.57,A,x,D,x,E,A,x,B,x,x,x,A,x,x,x,x,x,x,x,x,E,x,C,x,x,x,x,4,14.81
76,1.0,Post,A,A,95.57,E,x,D,D,B,B,B,E,x,C,A,A,B,B,x,x,C,x,C,C,D,A,C,x,D,D,A,7,25.93
75,1.0,Pre,A,A,99.57,A,x,D,A,B,x,x,A,x,C,B,E,x,D,D,E,x,D,D,D,B,x,x,x,x,x,x,2,7.41
75,1.0,Post,A,A,99.57,E,E,D,B,B,A,x,C,D,C,D,A,E,D,x,E,B,B,C,D,D,C,C,x,B,x,A,11,40.74
16,1.0,Post,A,A,97.8,D,C,A,D,D,D,B,A,D,C,D,B,A,A,E,D,A,B,C,C,D,B,C,B,D,B,A,8,29.63
70,1.0,Pre,A,A,98.74,B,x,D,B,B,A,D,C,C,C,D,x,D,x,B,D,x,x,C,A,A,x,C,x,x,x,x,6,22.22
70,1.0,Post,A,A,98.74,B,D,D,A,C,A,A,C,D,D,x,A,C,A,C,B,x,D,C,C,D,D,E,A,B,D,A,9,33.33
5,1.0,Pre,A,C-,58.59,B,D,A,C,A,A,B,B,E,C,A,A,D,C,C,C,C,C,E,A,B,C,D,C,D,D,D,7,25.93
84,1.0,Post,A,A,94.17,C,D,D,E,A,A,A,C,D,E,D,A,A,B,E,D,B,B,C,C,E,E,A,B,B,A,A,15,55.56
84,1.0,Pre,A,A,94.17,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0,0.0
84,1.0,Pre,A,A,94.17,C,B,D,A,A,A,D,A,B,D,E,A,B,B,B,A,C,A,D,C,D,E,C,A,B,A,D,12,44.44
